,Organisation,Title,Link,Date
114,ECB,Geopolitical fragmentation risks and international currencies,https://www.ecb.europa.eu/pub/ire/article/html/ecb.ireart202306_01~11d437be4d.en.html,19 June 2023
115,ECB,"The international role of the euro, June 2023",https://www.ecb.europa.eu/pub/ire/html/ecb.ire202306~d334007ede.en.html,16 June 2023
116,ECB,Statistical annex,https://www.ecb.europa.eu/pub/pdf/ire/ecb.ire202306_annex~9d9ffbe4d3.en.pdf?57a6df5b74ee6bc8a3ec578d4c376422,16 June 2023
117,ECB,International use of the euro was resilient in 2022,https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.pr230621~fb1c134626.en.html,16 June 2023
118,ECB,Enhancing climate resilience of monetary policy implementation in the euro area,https://www.ecb.europa.eu/pub/pdf/scpops/ecb.op318~5276c392d6.en.pdf?70e17d049b5a584be42f12279b15a88b,15 June 2023
119,ECB,Reporting and derivation of data on financial transactions related to banks’ securities holdings,https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps44~b754672ed6.en.pdf?f95543725062c0aa88094d0f9a78615f,15 June 2023
120,ECB,Firm-bank relationships: a cross-country comparison,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2826~cbbb571758.en.pdf?88c7d21a1aa1bd27d8ced0dff6ae917c,29 June 2023
121,ECB,TARGET Annual Report 2022,https://www.ecb.europa.eu/pub/targetar/html/ecb.targetar2022.en.html,7 June 2023
122,ECB,A novel high‐frequency indicator of financial integration for monitoring the impact of COVID-19,https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps43~291a29d8cc.en.pdf?6ce8959a39711e95f246af69f4cbd75e,7 June 2023
123,ECB,"Eurosystem staff macroeconomic projections for the euro area, June 2023",https://www.ecb.europa.eu/pub/projections/html/ecb.projections202306_eurosystemstaff~6625228e9f.en.html,7 June 2023
124,ECB,Projections charts and tables,https://www.ecb.europa.eu/pub/pdf/annex/ecb.projections202306_eurosystemstaff_annex.en.xlsx?ab5c188a38b8dba86d26e40f63f10c1d,6 June 2023
125,ECB,Eurosystem staff macroeconomic projections for the euro area countries,https://www.ecb.europa.eu/pub/pdf/annex/ecb.eurosystemstaffprojectionsbreakdown202306.en.pdf?627235b0799ab8a8970c5c1bf4f9ff8e,6 June 2023
126,ECB,Survey on the Access to Finance of Enterprises in the euro area - October 2022 to March 2023,https://www.ecb.europa.eu/stats/ecb_surveys/safe/html/ecb.safe202306~58c0da48d6.en.html,5 June 2023
127,ECB,Questionnaire,https://www.ecb.europa.eu/stats/accesstofinancesofenterprises/pdf/questionnaire/ecb.safeq202306.en.pdf?67becfef432d86598d80c9a07276a40d,5 June 2023
128,ECB,Survey on the Access to Finance of Enterprises: strong tightening in perceived financing conditions amid continued rise in turnover,https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.pr230607~7b025e4c73.en.html,5 June 2023
129,ECB,Liquidity buﬀers and open-end investment funds: containing outﬂows and reducing ﬁre sales,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2825~a17cb43e86.en.pdf?2661e81c0efb80150456835883bbfd6e,1 June 2023
130,ECB,TARGET2-Securities Annual Report 2022,https://www.ecb.europa.eu/paym/intro/publications/html/ecb.t2sar2022.en.html,22 June 2023
131,BOE,Bank of England Weekly Report 5 July 2023,https://www.bankofengland.co.uk/weekly-report/2023/5-july-2023,"
                            30 June 2023
                        "
