,Title,Link,Date
119,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230531.xlsx,"June  2, 2023"
120,Collateral Accepted by the Bank of Japan (End of May)[XLSX 17KB],/en/statistics/boj/other/col/col2305.xlsx,"June  2, 2023"
121,Bank of Japan Accounts (May 31),/en/statistics/boj/other/acmai/release/2023/ac230531.htm,"June  2, 2023"
122,Monetary Base (May),/en/statistics/boj/other/mb/mb.htm,"June  2, 2023"
123,Sources of Changes in Current Account Balances and Market Operations (May)[XLSX 28KB],/en/statistics/boj/fm/juqf/juqf05.xlsx,"June  1, 2023"
124,(Research Paper) Heterogeneity and Wage Growth of Full-time Workers in Japan: An Empirical Analysis Using Micro Data,/en/research/wps_rev/wps_2023/wp23e11.htm,"June 19, 2023"
125,"Financial System Report Annex ""Regional and Shinkin Banks' Recent Efforts to Address Climate Change""",/en/research/brp/fsr/fsrb230602.htm,"June  2, 2023"
126,"Minutes of the Seventeenth Round of the ""Bond Market Group"" Meetings (June 5-6, 2023)[PDF 155KB]",/en/paym/bond/mbond_list/mbond2306.pdf,"June 27, 2023"
127,Measures of Underlying Inflation,/en/research/research_data/cpi/index.htm,"June 27, 2023"
128,Developments in Real Exports and Real Imports,/en/research/research_data/reri/index.htm,"June 20, 2023"
129,"NGFS publishes the ""NGFS Survey on Climate Scenarios - Key findings""",/en/about/climate/cli230613a.htm,"June 13, 2023"
130,Fifth Meeting of the Cross-Industry Forum on Interest Rate Benchmarks,/en/paym/market/i_forum/ifo230607a.htm,"June  7, 2023"
131,Consumption Activity Index,/en/research/research_data/cai/index.htm,"June  7, 2023"
132,Bond Market Survey (May 2023)[PDF 160KB],/en/paym/bond/bond_list/bond2305.pdf,"June  1, 2023"
133,ECB,ECB,ECB
134,US FED,US FED,26 June 2023
135,"Press Release

Federal Reserve Board announces approval of application by Vantage Bank Texas",https://www.federalreserve.gov/newsevents/pressreleases/orders20230627a.htm,26 June 2023
136,"FEDS Notes
The Transmission of Global Risk",https://www.federalreserve.gov/econres/notes/feds-notes/the-transmission-of-global-risk-20230627.html,23 June 2023
137,"Statistical Release
Money Stock Measures - H.6 Release",https://www.federalreserve.govhttps://www.federalreserve.gov/releases/h6/current/default.htm,23 June 2023
138,"FEDS 2023-043
College Networks and Re-employment of Displaced Workers",https://www.federalreserve.gov/econres/feds/college-networks-and-re-employment-of-displaced-workers.htm,23 June 2023
139,"FEDS 2023-042
A Comprehensive Empirical Evaluation of Biases in Expectation Formation",https://www.federalreserve.gov/econres/feds/a-comprehensive-empirical-evaluation-of-biases-in-expectation-formation.htm,23 June 2023
140,"Press Release

Federal Reserve Board announces approval of application by Banco de Reservas de la República Dominicana",https://www.federalreserve.gov/newsevents/pressreleases/orders20230626a.htm,23 June 2023
141,"IFDP 2023-1376
The Price of Macroeconomic Uncertainty: Evidence from Daily Options",https://www.federalreserve.gov/econres/ifdp/the-price-of-macroeconomic-uncertainty-evidence-from-daily-options.htm,22 June 2023
142,"FEDS 2023-041
End of an Era: The Coming Long-Run Slowdown in Corporate Profit Growth and Stock Returns",https://www.federalreserve.gov/econres/feds/end-of-an-era-the-coming-long-run-slowdown-in-corporate-profit-growth-and-stock-returns.htm,21 June 2023
143,"Speech by Governor Michelle W. Bowman

Responsive and Responsible Bank Regulation and Supervision",https://www.federalreserve.gov/newsevents/speech/bowman20230625a.htm,21 June 2023
144,"FEDS Notes
Distressed Firms and the Large Effects of Monetary Policy Tightenings",https://www.federalreserve.gov/econres/notes/feds-notes/distressed-firms-and-the-large-effects-of-monetary-policy-tightenings-20230623.html,21 June 2023
145,"FEDS Notes
2nd Annual International Roles of the U.S. Dollar Conference",https://www.federalreserve.gov/econres/notes/feds-notes/2nd-annual-international-roles-of-the-us-dollar-conference-20230623.html,21 June 2023
146,"FEDS Notes
""The International Role of the U.S. Dollar"" Post-COVID Edition",https://www.federalreserve.gov/econres/notes/feds-notes/the-international-role-of-the-us-dollar-post-covid-edition-20230623.html,21 June 2023
147,"Joint Press Release

Agencies release list of distressed or underserved nonmetropolitan middle-income geographies",https://www.federalreserve.gov/newsevents/pressreleases/bcreg20230623a.htm,21 June 2023
148,"Credit and Liquidity Programs and the Balance Sheet
Recent balance sheet trends, weekly chart update",https://www.federalreserve.gov/monetarypolicy/bst_recenttrends.htm,21 June 2023
149,"FEDS 2023-040
Finite-State Markov-Chain Approximations: A Hidden Markov Approach",https://www.federalreserve.gov/econres/feds/finite-state-markov-chain-approximations-a-hidden-markov-approach.htm,21 June 2023
150,"FEDS 2023-039
The FOMC's Use of Operational Targets: 85 Years and Counting",https://www.federalreserve.gov/econres/feds/the-fomcs-use-of-operational-targets-85-years-and-counting.htm,21 June 2023
151,"Press Release

Federal Open Market Committee announces tentative meeting schedule for 2024",https://www.federalreserve.gov/newsevents/pressreleases/monetary20230623a.htm,21 June 2023
152,"Press Release

Federal Reserve Board announces termination of enforcement actions with Commerzbank AG, Frankfurt am Main and Commerzbank AG New York Branch",https://www.federalreserve.gov/newsevents/pressreleases/enforcement20230623a.htm,21 June 2023
